english,tamil_reference,indictrans2_translation,sentence_bleu
Lower selected objects,தேர்ந்தெடுத்த பொருட்களை கீழ் வைக்க,குறைந்த தேர்ந்தெடுக்கப்பட்ட பொருள்கள்,0.0
"No, I'm in the middle of something.","இல்லை, நான் ஏதாவது நடுத்தர இருக்கிறேன்.","இல்லை, நான் ஏதோ நடுவில் இருக்கிறேன்.",30.7394
Hello?,ஹலோ ?,வணக்கம்?,50.0
"""%s"" is busy.","""%s"" வேலையாக உள்ளது","""% s"" பிஸியாக உள்ளது.",43.4721
Your names,_: NAME OF TRANSLATORS tamilpcteamEMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
The depth (in number of bits) of the pixmap bound to this texture,இந்த அமைப்பிற்கு பிணைக்கப்படும் பிக்ஸ்மேப்பின் ஆழம் (பிட்டுகளின் எண்ணிக்கையில்),இந்த அமைப்புடன் பிணைக்கப்பட்டுள்ள பிக்ஸ்மேப்பின் ஆழம் (பிட்களின் எண்ணிக்கையில்),23.3569
& Mike. McBride;,& Mike. McBride;,& மைக். மெக்பிரைட்;,14.0585
They will know tomorrow who the wicked liar is.,"""ஆணவம் பிடித்த பெரும் பொய்யர் யார்?"" என்பதை நாளைக்கு அவர்கள் திட்டமாக அறிந்து கொள்வார்கள்.",பொல்லாத பொய்யர் யார் என்பதை அவர்கள் நாளை அறிவார்கள்.,3.2556
"When the prince woke up again, he found the old dervish's clothes in the sand.",அந்த இளவரசன் நினைவு மீண்டு வந்தபோது அவன் அந்த வயதான துறவியோட உடைகளை கண்டான். அந்த மணலில்.,"இளவரசர் மீண்டும் விழித்தபோது, மணலில் வயதான டெர்விஷின் ஆடைகளைக் கண்டார்.",3.3495
Trained my entire life..,என் வாழ்நாள் முழுவதும் பயிற்சி ..,என் வாழ்நாள் முழுவதும் பயிற்சி பெற்றேன்..,48.8923
The TRIMMEAN() function calculates the mean of a data set's fraction.,The DEVSQ (),TRIMMEAN () செயல்பாடு ஒரு தரவு தொகுப்பின் பின்னத்தின் சராசரியைக் கணக்கிடுகிறது.,7.4956
The name of the property to animate,மெட்டாவின் பெயர்,உயிரூட்ட வேண்டிய சொத்தின் பெயர்,15.9736
CREDIT_FOR_TRANSLATORS,மொழிப்பெயர்ப்பாளர்களது பொறுப்புகள்,கிரெடிட் _ ஃபார் _ டிரான்ஸ்லேட்டர்ஸ்,0.0
I got scythes.,நான் scythes கிடைத்தது.,எனக்கு குச்சிகள் கிடைத்தன.,15.9736
Mail,அஞ்சல்,அஞ்சல்,100.0
Not saved.,கோப்பு,காப்பாற்றப்படவில்லை.,0.0
Device,இயக்கி,சாதனம்,0.0
And why should that be a security concern?,ஏன் என்று இருக்க வேண்டும் ஒரு பாதுகாப்பு கவலை?,அது ஏன் ஒரு பாதுகாப்புக் கவலையாக இருக்க வேண்டும்?,13.8881
"It is He who keeps you alive in your sleep at night and knows all that you do during the day. He wakes you up from your sleep to complete your worldly life, after which you will all return to Him. He will let you know all about what you had done in your worldly life.",அவன் தான் இரவில் உங்களை மரிக்கச் செய்கிறான்; இன்னும் நீங்கள் பகலில் செய்தவற்றையெல்லாம் அறிகிறான்; மீண்டும் உங்களைக் குறிப்பிட்டதவணை முடிப்பதற்காக பகலில் எழுப்புகிறான்; பின்னர் உங்களுடைய (இறுதி) மீட்சி அவனிடமே இருக்கிறது அப்பால் நீங்கள் (இவ்வுலகில்) செய்து கொண்டிருந்ததை அவன் உங்களுக்கு அறிவிப்பான்.,"அவனே இரவில் உங்கள் தூக்கத்தில் உங்களை உயிர்ப்புடன் வைத்திருப்பவன். பகலில் நீங்கள் செய்வதை எல்லாம் அறிந்தவன். உங்கள் தூக்கத்திலிருந்து உங்களை எழுப்பி, உங்கள் உலக வாழ்க்கையை நிறைவு செய்கிறான். அதன் பிறகு நீங்கள் அனைவரும் அவனிடமே திரும்பி வருவீர்கள். நீங்கள் உலக வாழ்க்கையில் என்ன செய்தீர்கள் என்பதை அவர் உங்களுக்குத் தெரிவிப்பார்.",1.4333
Really?,உண்மையில்?,உண்மையா?,50.0
Saturation,ஸாச்சுரேஷன்,செறிவு,0.0
Traces,தடயம்,தடயங்கள்.,0.0
Parameter name:,முன்னது,அளவுரு பெயர்ஃ,0.0
Not Nepal (Zones),% 1 தலைநகர்... nepal_ zones. kgm,நேபாளம் அல்ல (மண்டலங்கள்),0.0
General,பொது,ஜெனரல்,0.0
Do you really want to blank the current disc?,நீங்கள் உறுதியாக நடப்பு வட்டை அழிக்க விரும்புகிறீர்களா?,தற்போதைய வட்டை வெறுமையாக்க விரும்புகிறீர்களா?,15.8487
That's what life is about!,பற்றி வாழ்க்கை என்ன என்று !,அதுவே வாழ்க்கையின் அர்த்தம்!,12.4402
Think they believed a word of it?,அவர்கள் ஒரு வார்த்தை என்று நினைக்க?,அவர்கள் அதிலிருந்து ஒரு வார்த்தையை நம்புகிறார்கள் என்று நினைக்கிறீர்களா?,7.8098
Taurag ė,lithuania_ municipalities. kgm,தட்பவெப்பநிலை,0.0
Please select a toolbar:,தயவு செய்து கருவிப்பட்டியலை தேர்வு செய்.,தயவுசெய்து ஒரு கருவிப்பட்டையைத் தேர்ந்தெடுக்கவும்ஃ,0.0
"What! They dare say that “He has fabricated it”? Say, “Then bring one chapter like it and, other than Allah, call everyone you can if you are truthful.”","இதை (நம் தூதராகிய) அவர் கற்பனை செய்து கொண்டார் என அவர்கள் கூறுகின்றார்களா? (நபியே!) நீர் கூறும்; ""நீங்கள் (உங்கள் கூற்றில்) உண்மையாளர்களாக இருந்தால், இதிலுள்ளதைப் போல் ஓர் அத்தியாத்தைக் கொண்டு வாருங்கள்; அல்லாஹ்வையன்றி உங்களால் சாத்தியமானர்வகளை (உங்களுக்கு உதவி செய்ய) அழைத்துக் கொள்ளுங்கள்!"" என்று.","""இதை அவர் இட்டுக்கட்டியிருக்கிறார்"" என்று அவர்கள் கூறத் துணிந்தனர். (நபியே!) நீர் கூறுவீராக, ""இதைப் போன்ற ஒரு அத்தியாயத்தைக் கொண்டு வாருங்கள். அல்லாஹ்வைத் தவிர, நீங்கள் உண்மையாளர்களாக இருந்தால், உங்களால் இயன்ற அனைவரையும் அழைக்கவும்"".",11.2624
Subject,பொருள்,பொருள்.,50.0
Video resolution,வீடியோ தெளிதிறன்,வீடியோ ரெசல்யூஷன்,50.0
Rotate,சுற்று,சுழற்றுங்கள்,0.0
On her lunch break?,-அவளின் உணவு இடைவேளையிலா?,அவளுடைய மதிய உணவு இடைவேளையில்?,12.7033
The maximum depth drawn in the chart from the root,வரைபடத்தில் மூலத்தில் இருந்து வரையப்படும் அதிகபட்ச ஆழம்.,மூலத்திலிருந்து விளக்கப்படத்தில் வரையப்பட்ட அதிகபட்ச ஆழம்,14.321
Error while padding file (%s),பிழை கோப்பு (%s) ஐ பதிய வைப்பதில்,கோப்பை திணிக்கும் போது பிழை (% s),32.2601
Settings,அமைப்புகள்,அமைப்புகள்,100.0
_Edit,திருத்து (_E),_ திருத்து,15.7777
..your father our foremost scientist.,.. உங்கள் தந்தை எங்கள் முன்னணி விஞ்ஞானி .,.. உங்கள் தந்தை எங்கள் முன்னணி விஞ்ஞானி.,100.0
Failure to participate will be considered an act of war.,பங்கேற்க தோல்வி போர் செயல் கருத முடியும்.,பங்கேற்கத் தவறினால் அது ஒரு போர் நடவடிக்கையாக கருதப்படும்.,5.5224
Remove the fours,நான்குகளை நீக்கு,நான்கை அகற்று,0.0
Whether the direction should be reversed when reaching the end,முனையை அடையும் போது திசை தலைகீழாக இருந்தால்,முடிவை அடையும் போது திசையை மாற்றியமைக்க வேண்டுமா,16.2334
No silence could be detected,நிசப்தம் எங்கும் காணவில்லை,எந்த அமைதியையும் கண்டறிய முடியவில்லை.,0.0
"The law firm Leman Brothers currently in bankruptcy billed over 850 million in legal fees, in addition for billing in massage and lobster dinners.","தற்போது திவால் சட்டம் நிறுவனம் Leman பிரதர்ஸ் சட்ட கட்டணங்கள் 850 மில்லியனுக்கும் மேற்பட்ட படியாக, மசாஜ் மற்றும் இரால் இரவு நேரத்தில் பில்லிங் கூடுதலாக.","தற்போது திவாலாகிவிட்ட சட்ட நிறுவனமான லெமான் பிரதர்ஸ், மசாஜ் மற்றும் லோப்ஸ்டர் இரவு உணவுகளில் பில்லிங் செய்வதைத் தவிர, சட்டக் கட்டணமாக 850 மில்லியனுக்கும் அதிகமாக செலுத்தியது.",9.1659
Thanks.,நன்றி.,நன்றி.,100.0
"and clustered bananas,",(நுனி முதல் அடிவரை) குலை குலையாகப் பழங்களுடை வாழை மரத்தின் கீழும்:,"மற்றும் கிளஸ்டர் வாழைப்பழங்கள்,",0.0
Salmon,"சால்மன்City name (optional, probably does not need a translation)",சால்மன்,0.0
Whether to use the min-height property,குறைந்தபட்ச உயர பண்பை பயன்படுத்தவா,குறைந்தபட்ச உயரப் பண்பைப் பயன்படுத்தலாமா,15.9736
Federally Administered Tribal Areas,pakistan. kgm,கூட்டாட்சி நிர்வாகத்தில் உள்ள பழங்குடிப் பகுதிகள்,0.0
Type,ஜெர்மன்,வகை,0.0
Burn as _File,(_F) கோப்பாக எழுது,கோப்பாக எரிக்கவும் (_ C),19.3049
Default,& முன்னிருந்தUnderline Style,முன்னிருப்பு,0.0
In return for my efforts..,என் முயற்சிகள் பதிலாக ..,எனது முயற்சிகளுக்கு ஈடாக..,21.3644
..accomplishing wonders.,.. அதிசயங்கள் நிறைவேற்றும் .,.. அதிசயங்களைச் செய்தல்.,23.6435
& Priority:,& முன்னுரிமை,& முன்னுரிமைஃ,50.0
HEY. - ( gunshot ),- (துப்பாக்கி சூட்டு),ஏய்.-(துப்பாக்கிச் சூடு),14.5358
And with them will be maidens of equal age with modest gaze.,"அவர்களுடன் கீழ்நோக்கிய பார்வையும், ஒரே வயதுமுடைய அமர கன்னிகைகளும் இருப்பார்கள்.","அவர்களுடன் சம வயதினரும், எளிமையான பார்வையுள்ள கன்னியாஸ்திரிகளும் இருப்பார்கள்.",10.1471
No silence could be detected,நிசப்தம் எங்கும் காணவில்லை,எந்த அமைதியையும் கண்டறிய முடியவில்லை.,0.0
10-20...,10-20.,10-20...,50.8133
"""Move, motherfuckers!",""" தள்ளுங்கள், motherfuckers!","""நகருங்கள், மதர்ஃபக்கர்ஸ்!",14.0585
Not bothering a soul.,ஒரு ஆன்மா கவலைப்படாமல் .,ஒரு ஆன்மாவை தொந்தரவு செய்யவில்லை.,12.7033
"libisofs reported an error while adding contents to directory ""%s"" (%x)","அடைவு ""%s"" இல் உள்ளடக்கங்கள் சேர்க்கும்போது ஒரு பிழையை லிப்ஐசோஃஎப்எஸ் அறிவித்தது (%x)","""% s"" (% x) கோப்பகத்தில் உள்ளடக்கங்களைச் சேர்க்கும் போது libisofs ஒரு பிழையைப் புகாரளித்தது",31.5355
Desktop %1,வரியில் உள்ள சின்னங்களை பெயர் மாற்று,மேசை% 1,0.0
Only load data since last sync,கடைசி ஒத்து நிகழ்தல் வரையிலும் தகவலை மட்டும் ஏற்றூ,கடைசியாக ஒத்திசைக்கப்பட்டதிலிருந்து தரவை மட்டுமே ஏற்றவும்,0.0
"- Yeah, I hear you.","- ஆமாம், நான் நீங்கள் கேட்க.","ஆம், நான் கேட்கிறேன்.",15.8487
Vertical Expand,செங்குத்து விரிவாக்கம்,செங்குத்து விரிவாக்கம்,100.0
An internal error occurred,ஒரு உள்ளமை பிழை நேர்ந்தது,ஒரு உள் பிழை ஏற்பட்டது,18.9959
Cancel ongoing burning,நடப்பு எழுதுதலை ரத்து செய்,தொடர்ந்து எரிந்து கொண்டிருப்பதை ரத்துசெய்க,0.0
"Well, we've got euros to spare.","சரி, நாம் விட்டுவைக்க யூரோக்கள் கிடைத்துவிட்டது.","சரி, எங்களிடம் யூரோக்கள் உள்ளன.",15.2072
The number of horizontal tiles,கிடைமட்ட ஓடுகளின் எண்ணிக்கை,கிடைமட்ட ஓடுகளின் எண்ணிக்கை,100.0
SMB ports:,எஸ். எம். பி. முனையங்கள்:,எஸ். எம். பி. துறைமுகங்கள்ஃ,70.1397
Language,மொழி,மொழி.,50.0
Name,பெயர்,பெயர்.,50.0
"BITAND, BITOR, BITXOR, BITLSHIFT, BITRSHIFT",Name,"பிடன், பிடார், பிட்க்ஸர், பிட்ல்ஷிஃப்ட், பிட்டர்ஷிஃப்ட்",0.0
Critical error: Unable to collect mail:,சிக்கலான பிழை: அஞ்சல் சேகரிக்க முடியவில்லை: லை?),முக்கியமான பிழைஃ அஞ்சல் சேகரிக்க முடியவில்லைஃ,7.8595
Whether to use the natural-height property,இயற்கை உயர பண்பை பயன்படுத்தவா,இயற்கை-உயர பண்பைப் பயன்படுத்தலாமா,0.0
If you love..,நீங்கள் விரும்பினால் ..,நீங்கள் நேசிக்கிறீர்கள் என்றால்..,23.6435
"Those who spend (benevolently) in ease as well as in straitness, and those who restrain (their) anger and pardon men; and Allah loves the doers of good (to others).","(பயபக்தியுடையோர் எத்தகையோர் என்றால்,) அவர்கள் இன்பமான (செல்வ) நிலையிலும், துன்பமான (ஏழ்மை) நிலையிலும் (இறைவனின் பாதையில்) செலவிடுவார்கள்;. தவிர கோபத்தை அடக்கிக் கொள்வார்கள். மனிதர்(கள் செய்யும் பிழை)களை மன்னிப்போராய் இருப்பார்கள். (இவ்வாறு அழகாக) நன்மை செய்வோரையே அல்லாஹ் நேசிக்கின்றான்.","நிம்மதியாகவும், சிரமத்துடனும் செலவு செய்பவர்களும், கோபத்தைத் தடுத்து, மனிதர்களை மன்னிப்பவர்களும் அல்லாஹ் நன்மை செய்வோரை நேசிக்கிறான்.",0.4649
Who knows?,யாருக்குத் தெரியும்?,யாருக்குத் தெரியும்?,100.0
The priority value for the plugin,சொருகிக்கான முன்னுரிமை மதிப்பு,சொருகிக்கான முன்னுரிமை மதிப்பு,100.0
Language,மொழி,மொழி.,50.0
Maximum size:,@ info: whatsthis,அதிகபட்ச அளவுஃ,0.0
Do you have a reservation with us this evening?,இந்த மாலை எங்களுக்கு ஒரு இட ஒதுக்கீடு இருக்கிறதா?,இன்று மாலை எங்களுடன் உங்களுக்கு முன்பதிவு இருக்கிறதா?,12.6007
"""Place of birth,","""பிறந்த இடத்தில்","""பிறந்த இடம்,",31.9472
Yeah.,ஆமாம்.,ஆம்.,50.0
Which type of chart should be displayed.,எந்த மாதிரி விளக்க அட்டவணை தெரிய வேண்டும்?,எந்த வகையான விளக்கப்படம் காட்டப்பட வேண்டும்.,8.1706
GNOME Games web site,க்னோம் விளையாட்டு வலையகம்,க்னோம் விளையாட்டுகளின் வலைத்தளம்,27.5161
Two Staples,இரண்டு இணைப்புகள்,இரண்டு ஸ்டேபிள்ஸ்,50.0
Your names,_: NAME OF TRANSLATORS tamilpc teamEMAIL OF TRANSLATORS,உங்கள் பெயர்கள்.,0.0
So in their footsteps they are being hastened on.,"ஆகையால், அவர்களுடைய அடிச்சுவடுகள்மீதே இவர்களும் விரைந்தார்கள்.",எனவே அவர்களின் அடிச்சுவடுகளில் அவர்கள் விரைவுபடுத்தப்படுகிறார்கள்.,6.8706
"Sponsored Cooley's anemia foundation.""","விளம்பரதாரர்: கூலி இரத்த சோகை அறக்கட்டளை "".","கூலியின் இரத்த சோகை அறக்கட்டளைக்கு நிதியுதவி அளித்தது "".",12.2231
Send,பாணி,அனுப்புங்கள்.,0.0
Enter toolbar name:,கருவிப்பட்டியல் பெயரை அனுமதி,கருவிப்பட்டை பெயரை உள்ளிடவும்ஃ,27.5161
the ten of diamonds,டைமண்டின் பத்து,பத்து வைரங்கள்,50.0
Unrecognized launch option: %d,இனம் காணாத துவக்க தேர்வு: %d,அங்கீகரிக்கப்படாத துவக்க விருப்பம்ஃ% d,15.8487
Mode:,பயன்முறை:,முறைஃ,0.0
I know what a dictionary is. Thank you.,"நான் அகராதி தெரியும், நன்றி,",அகராதி என்றால் என்னவென்று எனக்குத் தெரியும். நன்றி.,7.2679
Hurt me,12 மணி நேரம்,என்னை காயப்படுத்துங்கள்.,0.0
Hue,சாயல்,நிறம்.,0.0
Name:,பெயர்:,பெயர்ஃ,0.0
growisofs burning suite,க்ரோஐசோஃஎப்எஸ் எழுதும் தொகுதி,க்ரோயிசோஃப்ஸ் பர்னிங் சூட்,0.0
Unrecognized launch option: %d,அடையாளம் காண இயலாத துவக்க தேர்வு : %d,அங்கீகரிக்கப்படாத துவக்க விருப்பம்ஃ% d,12.9758
Imperia,ஸ்விட்ஸர்லாண்ட்italyprovince. kgm,இம்பீரியா,0.0
page tab list,பக்கத் தத்தல் பட்டியல்,பக்கக் கீற்று பட்டியல்,27.5161
Yeah.,ஆமாம்.,ஆம்.,50.0
& Copy Global Templates,மேலெழுது,உலகளாவிய வார்ப்புருக்கள் & நகலெடுக்கவும்,0.0
"And if we cause man to taste some mercy from Us and afterward withdraw it from him, lo! he is despairing, thankless.","நாம் நம்மிடமிருந்து நற்கிருபையை மனிதன் சுவைக்கும்படிச் செய்து, பின்பு அதனை அவனை விட்டும் நாம் நீக்கி விட்டால், நிச்சயமாக அவன் நிராசைப்பட்டு பெரும் நன்றி கெட்டவனாகி விடுகின்றான்.","மேலும், நாம் மனிதனை நம்மிடமிருந்து ஏதேனும் ஒரு கருணையை சுவைக்கச் செய்து, பின்னர் அதை அவரிடமிருந்து விலக்கிக் கொண்டால், அவர் விரக்தியடைபவராகவும், நன்றியற்றவராகவும் இருப்பார்.",4.3343
"Nor had he numbers to help him against Allah, nor was he able to deliver himself.","மேலும், அல்லாஹ்வையன்றி, அவனுக்கு உதவி செய்யும் கூட்டத்தார் எவரும் அவனுக்கு இருக்கவில்லை ஆகவே, அவன் (இவ்வுலகில்) எவராலும் உதவி செய்யப்பட்டவனாக இல்லை.","அல்லாஹ்வுக்கு எதிராக அவருக்கு உதவக்கூடிய எண்களும் அவரிடம் இல்லை, அவரால் தன்னைத் தானே காப்பாற்றிக்கொள்ளவும் முடியவில்லை.",2.1106
_About,_பற்றி,பற்றி (_ A),12.7033
"""And ordain for us that which is good, in this life and in the Hereafter: for we have turned unto Thee."" He said: ""With My punishment I visit whom I will; but My mercy extendeth to all things. That (mercy) I shall ordain for those who do right, and practise regular charity, and those who believe in Our signs;-","""இன்னும் இவ்வுலகத்திலும், மறுமையிலும் எங்களுக்கு (அழகிய) நன்மைகளையே விதித்தருள்வாயாக! நிச்சயமாக நாங்கள் உன்னையே முன்னோக்குகிறோம்"" (என்றும் பிரார்த்தித்தார்). அதற்கு இறைவன், ""என்னுடைய அருளானது எல்லாப் பொருள்களிலும் (விரிந்து, பரந்து) சூழ்ந்து நிற்கிறது எனினும் அதனை பயபக்தியுடன் (பேணி) நடப்போருக்கும், (முறையாக) ஜகாத்து கொடுத்து வருவோருக்கும் நம்முடைய வசனங்களை நம்புகிறவர்களுக்கும் நான் விதித்தருள் செய்வேன்"" என்று கூறினான்.","""இன்னும், இவ்வுலக வாழ்க்கையிலும் மறுமையிலும் எங்களுக்கு நன்மையைக் கட்டளையிடுங்கள். ஏனெனில், நாங்கள் உம்மை நோக்கித் திரும்பி விட்டோம்"". என்று அவர் கூறினார். ""என் வேதனையால் நான் விரும்பியவர்களைச் சந்திக்கிறேன். எனினும், என் கருணை அனைத்துப் பொருட்களுக்கும் பொருந்தும். நற்கருமங்கள் செய்பவர்களுக்கும், தர்மம் செய்பவர்களுக்கும் மற்றும் நமது வசனங்களை நம்புபவர்களுக்கும் நான் இதைக் கட்டளை செய்வேன்"".",2.7286
"DMIN(A1: C5; ""Salary""; A9: A11)","DMIN( A1: C5; ""Salary""; A9: A11)","டி. எம். ஐ. என் (ஏ1: சி5; ""சம்பளம்""; ஏ9: ஏ11)",6.4399
What are you gonna do with the fucking painting? !,நீங்கள் fucking ஓவியம் கொண்டு என்ன செய்ய போகிறேன் என்று?,அந்தப் புணர்ச்சியான ஓவியத்தை நீங்கள் என்ன செய்யப் போகிறீர்கள்?,6.4139
Angle z tilt,z தலைப்பு கோணம்,கோணம் z சாய்வு,34.6681
"Burns, blanks and formats CDs and DVDs",சிடி க்கள் மற்றும் டிவிடி க்கள் எழூத வேற்றாக்க மற்றும் ஒழுங்கு செய்ய,"தீக்காயங்கள், வெற்றிடங்கள் மற்றும் சிடிக்கள் மற்றும் டிவிடிக்களின் வடிவங்கள்",5.1146
WOMAN'S BED,Constellation name (optional),பெண்ணின் படுக்கை,0.0
OnDblClick:,இருசொடுக்கு:,ஆன். டி. பி. எல். கிளிக்ஃ,0.0
New image file,புதிய தத்தல் கோப்பு,புதிய படக் கோப்பு,34.6681
Configure Access to Repositories,தகவல்களுக்கு அமைப்பு ஏற்கப்பட்டது,களஞ்சியங்களுக்கான அணுகலை கட்டமைக்கவும்,0.0
No hint available right now,இப்போது எந்த உதவிக் குறிப்பும் இல்லை,இப்போதைக்கு எந்த குறிப்பும் கிடைக்கவில்லை,14.794
"She said, “My Lord, how can I have a child, when no man has touched me?” He said, “It will be so. God creates whatever He wills. To have anything done, He only says to it, ‘Be,’ and it is.”","(அச்சமயம் மர்யம்) கூறினார்; ""என் இறைவனே! என்னை ஒரு மனிதனும் தொடாதிருக்கும்போது எனக்கு எவ்வாறு ஒரு மகன் உண்டாக முடியும்?"" (அதற்கு) அவன் கூறினான்; ""அப்படித்தான் அல்லாஹ் தான் நாடியதைப் படைக்கிறான். அவன் ஒரு காரியத்தைத் தீர்மானித்தால், அவன் அதனிடம் 'ஆகுக' எனக்கூறுகிறான், உடனே அது ஆகி விடுகிறது.""","அவள், ""என் இறைவா, என்னை யாரும் தொடாத நிலையில், நான் எப்படி ஒரு குழந்தையைப் பெற முடியும்?"" என்று கேட்டாள். அதற்கு அவர், ""அப்படித் தான் இருக்கும். அல்லாஹ் தான் விரும்புவதைப் படைக்கிறான். எதைச் செய்ய வேண்டுமோ, அதைச் செய்ய வேண்டும்"" என்று மட்டுமே கூறுகிறான். அது ஆகிவிட்டது ""என்று கூறினார்.",5.0988
"Oh, my God.","ஓ, என் கடவுள்.",ஐயோ கடவுளே.,14.1272
Thanks.,நன்றி .,நன்றி.,100.0
"Do they not see that Allah, who created the heavens and the earth and [who] was not exhausted by their creation, is able to revive the dead? Yes, indeed He has power over all things.","வானங்களையும், பூமியையும் படைத்து அவற்றின் படைப்பால் எவ்வித சோர்வுமின்றி இருக்கின்றானே அல்லாஹ் அவன் நிச்சயமாக மரித்தோரை உயிர்ப்பிக்கும் ஆற்றலுடையவன்; ஆம்! நிச்சயமாக அவன் எல்லாப் பொருள்கள் மீதும் பேராற்றலுடையவன் என்பதை அவர்கள் பார்க்கவில்லையா?","வானங்களையும் பூமியையும் படைத்து, அவற்றின் படைப்பால் சோர்ந்துபோகாத அல்லாஹ்வே இறந்தவர்களை உயிர்ப்பிக்க வல்லவன் என்பதை அவர்கள் பார்க்கவில்லையா? ஆம், நிச்சயமாக அவன் அனைத்துப் பொருட்களின் மீதும் பேராற்றலுடையவன்.",14.3393
Your mother and I foresaw the coming calamity..,"உங்கள் அம்மா, நான் foresaw வரவிருக்கும் பேராபத்து ..",வரவிருக்கும் பேரழிவை நானும் உங்கள் தாயும் முன்கூட்டியே பார்த்தோம்..,11.3396
VioletRed,ஹாட் பிங்க்color,வயலட் ரெட்,0.0
Find out in our full report right after the break.,வலதுஇடைவெளிக்குபின்னர்எங்கள்முழு அறிக்கை ல் கண்டுபிடி,இடைவேளைக்குப் பிறகு எங்கள் முழு அறிக்கையிலும் கண்டுபிடிக்கவும்.,0.0
Art inspired by real Japanese Mahjongg tiles,Name,உண்மையான ஜப்பானிய மஹ்ஜோங் ஓடுகளால் ஈர்க்கப்பட்ட கலை,0.0
Never,ஒருபோதுமில்லை,ஒருபோதும்,0.0
Should Nautilus extension output debug statements,நாடுலஸ் நீட்சி வழு நீக்க அறிக்கைகளை வெளியிட வேண்டுமா,நோடிலஸ் நீட்டிப்பு வெளியீட்டு பிழைத்திருத்த அறிக்கைகள் இருக்க வேண்டுமா,6.5673
- What happened?,- என்ன நடந்தது?,- என்ன நடந்தது?,100.0
E_ject,(_j) வெளியேற்று,ஈ _ ஜெக்ட்,14.1272
Start,துவக்கு,தொடங்குங்கள்,0.0
Ronnie Earl's late.,ரோனி ஏர்ல் நேரமாகிவிட்டது.,ரோனி ஏர்ல் தாமதமாகிவிட்டார்.,18.9959
The number of horizontal tiles,கிடைமட்ட ஓடுகளின் எண்ணிக்கை,கிடைமட்ட ஓடுகளின் எண்ணிக்கை,100.0
"Ex-wife, Leroy!","முன்னாள் மனைவி, லெராய்!","முன்னாள் மனைவி, லெரோய்!",42.7287
Strange,வித்தியாசமான,விசித்திரமானது.,0.0
Copying audio track,ஒலி தடத்தை நகலெடுக்கிறது,ஆடியோ டிராக்கை நகலெடுக்கிறது,27.5161
The height of the pixmap bound to this texture,இந்த அமைப்பிற்கு பிணைக்கப்படும் பிக்ஸ்மேப்பின் உயரம்,இந்த அமைப்புடன் பிணைக்கப்பட்டுள்ள பிக்ஸ்மேப்பின் உயரம்,23.6435
Tidings containing a deterrent have come to them,அச்சுறுத்தலுள்ள பல செய்திகள் திடமாக (முன்னரே) அவர்களிடம் வந்திருக்கின்றன.,அவர்களுக்கு ஒரு தடுப்புச் செய்தி வந்துவிட்டது.,4.1673
Sh... - ♪ If your windows and doors ♪,என்னுடைய விளம்பரம்.,ஷ...-உங்கள் ஜன்னல்கள் மற்றும் கதவுகள் இருந்தால்,4.7677
"While mullahs, ayatollahs, they get rich.","முல்லாக்கள் அயத்துல்லாக்களின் போது, அவர்கள் பணக்கார கிடைக்கும்.","முல்லாக்கள், அயதுல்லாக்கள், அவர்கள் பணக்காரர்களாக மாறுகிறார்கள்.",13.1345
Keep Below Others,மற்றவைகளை கீழே வை,மற்றவற்றுக்கு கீழே வைத்திருங்கள்,27.5161
Data disc (%s),தரவு வட்டு (%s),தரவு வட்டு (% s),100.0
Kill or stop etc a process,Description,கொல்லுங்கள் அல்லது நிறுத்துங்கள் போன்றவை ஒரு செயல்முறை,0.0
"You remember, okay--","நீங்கள் நினைவில், சரி -","உங்களுக்கு நினைவிருக்கிறது, சரி...",13.1345
TND,TND,டிஎன்டி,0.0
S43: In case of fire use... (indicate in the space the precise type of fire-fighting equipment. If water increases the risk add - Never use water),Please take the official translations! You find them here: http: // europa. eu. int/ eur- lex/ lex/ LexUriServ/ LexUriServ. do? uri=CELEX: 32001L0059: EN: HTML,S43: தீயைப் பயன்படுத்தினால்... (தீயணைப்பு கருவிகளின் துல்லியமான வகையைக் குறிப்பிடவும். தண்ணீர் ஆபத்தை அதிகரித்தால் சேர்க்கவும்-தண்ணீரை ஒருபோதும் பயன்படுத்த வேண்டாம்),1.0299
"No, it's not too forward.","இல்லை, அது மிக முன்னோக்கி தான்.","இல்லை, அது மிகவும் முன்னோக்கி இல்லை.",26.2691
Without your helmet..,உங்கள் ஹெல்மெட் இல்லாமல் ..,தலைக்கவசம் இல்லாமல்..,46.3078
Session management options:,அமர்வு மேலாண்மை தேர்வுகள்:,அமர்வு மேலாண்மை விருப்பங்கள்ஃ,39.4322
"We gave the Book to the Israelites, the commandments, and prophethood, granted them pure sustenance, and gave them preference above all people.","நிச்சயமாக நாம், இஸ்ராயீலின் சந்ததியினருக்கு வேதத்தையும், அதிகாரத்தையும், நுபுவ்வத்தையும் கொடுத்தோம்; அவர்களுக்கு மணமான உணவு (வசதி)களையும் கொடுத்தோம் - அன்றியும் அகிலத்தாரில் அவர்களை மேன்மையாக்கினோம்.","நாம் இஸ்ரவேல் மக்களுக்கு வேதத்தையும், கட்டளைகளையும், நபித்துவத்தையும் வழங்கி, அவர்களுக்கு தூய்மையான வாழ்வாதாரத்தை வழங்கி, அனைத்து மக்களையும் விட அவர்களுக்கு முன்னுரிமை அளித்தோம்.",3.9394
